day,count
2016-04-15,6285
2016-03-17,2974
2016-04-18,8206
2016-04-09,2586
2016-04-11,3768
2016-03-09,4677
2016-04-12,6115
2016-03-29,3770
2016-04-01,2716
2016-03-27,2674
2016-03-08,4839
2016-04-08,3428
2016-04-07,5954
2016-02-28,5172
2016-04-10,2570
2016-03-03,6925
2016-03-04,4847
2016-04-17,4777
2016-04-05,3508
2016-04-14,6217
2016-03-23,3916
2016-03-12,2582
2016-04-03,2581
2016-03-05,3220
2016-03-14,3434
2016-03-31,3494
2016-03-22,6271
2016-03-15,4455
2016-03-25,2162
2016-04-13,5335
2016-03-11,4747
2016-03-18,4154
2016-03-02,5028
2016-02-27,4578
2016-03-30,3662
2016-03-24,3708
2016-03-21,3822
2016-04-16,4455
2016-03-19,2928
2016-03-13,3229
2016-02-26,5775
2016-03-01,4872
2016-02-29,6051
2016-04-04,3474
2016-04-19,7138
2016-03-20,2671
2016-04-02,2189
2016-04-20,5370
2016-03-10,5055
2016-03-07,4318
2016-03-16,3119
2016-03-26,2639
2016-02-24,4624
2016-02-25,6670
2016-03-06,4439
2016-04-06,4254
2016-03-28,2256
